tokens,tokens_stemmed
"hotel, harganya, terjangakau, bersih, makanannya, enak, yg, paling, penting, manager, karyawannya, ramah, terletak, tengah, kota, tomohon, walaupun, kamar, viewnya, lumayan, horor, noted, dekat, rm, angkringan, yg, buka, larut, malam, banyakan, non, halal, gaes","hotel, harga, terjangakau, bersih, makan, enak, yg, paling, penting, manager, karyawannya, ramah, letak, tengah, kota, tomohon, walaupun, kamar, viewnya, lumayan, horor, noted, dekat, rm, angkring, yg, buka, larut, malam, banyak, non, halal, gaes"
"salah, satu, hotel, berbintang, manado, lokasinya, cukup, dekat, pusat, perbelanjaan, manado, town, square, interior, kamar, terlihat, tua, terawat, baik, harga, standar, hotel, bintang, sarapannya, sangat, bervariatif, enak","salah, satu, hotel, bintang, manado, lokasi, cukup, dekat, pusat, belanja, manado, town, square, interior, kamar, lihat, tua, awat, baik, harga, standar, hotel, bintang, sarap, sangat, variatif, enak"
"adalah, tempat, bagus, menginap, suasana, staf, ramah, membantu, tinggal, sini, kali, kunjungan, pulau, siau, karangetang, gunung, berapi, hotel, berada, jarak, berjalan, kaki, ke, pusat, perbelanjaan, restoran","adalah, tempat, bagus, inap, suasana, staf, ramah, bantu, tinggal, sini, kali, kunjung, pulau, siau, karangetang, gunung, rap, hotel, ada, jarak, jalan, kaki, ke, pusat, belanja, restoran"
"kamarnya, bersihstrategisdekat, pertokoanpelayannya, sangat, ramahmakanan, pagi, banyak, menu, pilihan, sangat, enakkkkruangan, pertemuannya, sangat, luas, kamar, mandi, wcnya, bagus, bersih","kamar, bersihstrategisdekat, pertokoanpelayannya, sangat, ramahmakanan, pagi, banyak, menu, pilih, sangat, enakkkkruangan, temu, sangat, luas, kamar, mandi, wcnya, bagus, bersih"
"sudah, malam, staff, melayani, sangat, ramah, dikasih, waktu, late, checkout, tempat, dekat, restaurant, mall, besar, manado, kamar, besar, bersih, kamar, mandi, yg, bersih, senang, di, hotel, ibadah, gereja, saya, ikuti, breakfastnya, sangat, menyenangkan, makanan, yg, beragam, ciri, khas, manado, juga, cuma, sayang, wifinya, tdk, mudah, diakses, selalu, putus, tidak, kencang","sudah, malam, staff, layan, sangat, ramah, kasih, waktu, late, checkout, tempat, dekat, restaurant, mall, besar, manado, kamar, besar, bersih, kamar, mandi, yg, bersih, senang, di, hotel, ibadah, gereja, saya, ikut, breakfastnya, sangat, senang, makan, yg, agam, ciri, khas, manado, juga, cuma, sayang, wifinya, tdk, mudah, akses, selalu, putus, tidak, kencang"
"temanteman, menginap, hotel, selama, seminggu, kamar, cukup, luas, bersih, staf, ramah, sarapan, restoran, banyak, variasi, menu, klappertart, disajikan, satu, kali, seminggu, bubur, manadonya, enak, pasteriesnya, enak, buahnya, cukup, segar, manis, lokasinya, sangat, strategis, samping, kanan, hotel, indomart, star, square, dan, mantos, terletak, sangat, dekat, hotel, hotel, memiliki, seaview, jaraknya, cukup, dekat, laut, disamping, kiri, hotel, banyak, restoran, sayangnya, ada, hairdryer, kamar, wifi, kamar, sering, tidak, stabil","temanteman, inap, hotel, lama, minggu, kamar, cukup, luas, bersih, staf, ramah, sarap, restoran, banyak, variasi, menu, klappertart, saji, satu, kali, minggu, bubur, manadonya, enak, pasteriesnya, enak, buah, cukup, segar, manis, lokasi, sangat, strategis, samping, kanan, hotel, indomart, star, square, dan, mantos, letak, sangat, dekat, hotel, hotel, milik, seaview, jarak, cukup, dekat, laut, samping, kiri, hotel, banyak, restoran, sayang, ada, hairdryer, kamar, wifi, kamar, sering, tidak, stabil"
"hotel, selalu, tempati, berada, manado, luar, memang, hotel, kelihatan, berumurnamun, memasuki, nya, akan, merasakan, sangat, nyaman, segi, interiorsuasanadanstaff, sangat, ramah, sarapan, pagi, sangat, beragam, selalu, jaga, kondisi, baik","hotel, selalu, tempat, ada, manado, luar, memang, hotel, lihat, berumurnamun, pasuk, nya, akan, rasa, sangat, nyaman, segi, interiorsuasanadanstaff, sangat, ramah, sarap, pagi, sangat, agam, selalu, jaga, kondisi, baik"
"menginap, selama, malam, adalah, kedua, kalinya, menginap, sini, semua, staf, resepsionis, sangat, ramah, membantu, terima, kasih, semuanya, mencoba, beberapa, makanan, restoran, semua, baik, pelayan, ramah, membantu, terima, kasih, semuanya, staf, layanan, kebersihan, berbicara, keras, satu, sama, mereka, menurunkan, suara","inap, lama, malam, adalah, dua, kali, inap, sini, semua, staf, resepsionis, sangat, ramah, bantu, terima, kasih, semua, coba, beberapa, makan, restoran, semua, baik, layan, ramah, bantu, terima, kasih, semua, staf, layan, bersih, bicara, keras, satu, sama, mereka, turun, suara"
"sapaan, senyuman, diberikan, tamu, mulai, turun, mobil, sesaat, masuk, kamar, karyawan, welcome, drink, hangat, minuman, khas, manado, selalu, menyapa, setiap, tamu, lupa, gro, mengantar, ke, lift, dg, penuh, senyum, kamar, hotel, bersih, kasir, bantal, nyaman, shower, air, hangat, sangat, baik, makanan, lengkap, baik","sapa, senyum, beri, tamu, mulai, turun, mobil, saat, masuk, kamar, karyawan, welcome, drink, hangat, minum, khas, manado, selalu, sapa, tiap, tamu, lupa, gro, antar, ke, lift, dg, penuh, senyum, kamar, hotel, bersih, kasir, bantal, nyaman, shower, air, hangat, sangat, baik, makan, lengkap, baik"
"plus, kamar, luas, terang, nyaman, menu, makan, bervariasi, laundry, aman, bersih, ada, hilang, pelayanan, minus, interior, kamar, agak, lama, modern, keseluruhan, cukup, menyenangkan","plus, kamar, luas, terang, nyaman, menu, makan, variasi, laundry, aman, bersih, ada, hilang, layan, minus, interior, kamar, agak, lama, modern, seluruh, cukup, senang"
